Age,Gender,Location,Phone Brand,OS,Screen Time (hrs/day),Data Usage (GB/month),Calls Duration (mins/day),Number of Apps Installed,Social Media Time (hrs/day),E-commerce Spend (INR/month),Streaming Time (hrs/day),Gaming Time (hrs/day),Monthly Recharge Cost (INR),Primary Use,Cluster,Total expenditure,Cluster Name,Actionable Insight
22,Other,Hyderabad,Oppo,Android,1.2,34.9,34.7,39,2.0,8410,2.3,4.2,1723,Entertainment,0,10133,Mature High Spender,Upsell premium services
35,Male,Jaipur,Vivo,Android,11.7,5.2,100.0,96,1.7,4499,3.8,3.0,1197,Entertainment,0,5696,Mature High Spender,Upsell premium services
20,Male,Pune,Realme,iOS,11.0,38.4,16.6,117,1.2,7812,1.6,4.7,975,Entertainment,0,8787,Mature High Spender,Upsell premium services
27,Other,Pune,Vivo,Android,5.1,36.5,56.9,151,2.3,6454,4.2,4.4,358,Entertainment,0,6812,Mature High Spender,Upsell premium services
52,Male,Kolkata,Xiaomi,Android,5.1,16.6,10.2,109,1.7,9210,3.1,2.7,575,Gaming,0,9785,Mature High Spender,Upsell premium services
25,Other,Pune,Vivo,iOS,4.8,32.1,216.9,146,2.0,6665,3.3,4.2,481,Education,0,7146,Mature High Spender,Upsell premium services
59,Female,Chennai,Oppo,iOS,11.5,46.7,233.0,23,3.0,7990,8.0,4.5,730,Social Media,0,8720,Mature High Spender,Upsell premium services
36,Female,Kolkata,Nokia,Android,10.3,2.8,90.2,55,1.7,4561,2.9,0.6,111,Gaming,0,4672,Mature High Spender,Upsell premium services
50,Male,Mumbai,Xiaomi,iOS,9.5,41.5,48.5,174,2.8,9353,2.4,3.9,655,Social Media,0,10008,Mature High Spender,Upsell premium services
31,Other,Bangalore,Realme,Android,4.2,34.3,228.0,170,2.7,9848,7.9,1.9,1375,Education,0,11223,Mature High Spender,Upsell premium services
58,Other,Pune,Xiaomi,iOS,3.0,17.6,165.5,68,1.1,6788,1.8,2.2,868,Education,0,7656,Mature High Spender,Upsell premium services
41,Other,Hyderabad,Nokia,Android,7.7,22.0,194.3,31,1.1,6911,5.3,0.7,207,Social Media,0,7118,Mature High Spender,Upsell premium services
57,Male,Chennai,Vivo,iOS,5.1,29.4,103.5,13,1.7,5617,1.5,2.4,360,Gaming,0,5977,Mature High Spender,Upsell premium services
47,Male,Pune,OnePlus,iOS,2.7,44.9,279.4,108,3.6,7854,3.8,1.3,211,Social Media,0,8065,Mature High Spender,Upsell premium services
53,Female,Hyderabad,Nokia,Android,11.7,34.3,210.6,63,3.4,7823,4.3,4.0,1375,Education,0,9198,Mature High Spender,Upsell premium services
31,Female,Kolkata,Vivo,iOS,8.6,42.5,290.1,182,1.7,4949,1.5,4.5,326,Gaming,0,5275,Mature High Spender,Upsell premium services
39,Male,Hyderabad,Nokia,iOS,8.3,36.4,245.8,77,2.8,9856,4.6,1.9,229,Social Media,0,10085,Mature High Spender,Upsell premium services
48,Female,Mumbai,OnePlus,iOS,8.5,20.9,184.1,78,2.1,8186,7.2,3.3,188,Gaming,0,8374,Mature High Spender,Upsell premium services
28,Other,Hyderabad,Vivo,Android,10.0,2.7,104.9,66,0.6,4988,4.0,1.5,1802,Social Media,0,6790,Mature High Spender,Upsell premium services
57,Other,Mumbai,OnePlus,iOS,4.7,8.2,193.8,186,1.5,8126,2.8,0.1,764,Entertainment,0,8890,Mature High Spender,Upsell premium services
41,Male,Bangalore,Samsung,iOS,5.4,36.7,269.3,55,2.4,8944,6.7,1.5,1954,Gaming,0,10898,Mature High Spender,Upsell premium services
49,Female,Bangalore,OnePlus,iOS,3.9,11.0,151.1,57,2.9,8521,4.6,3.6,609,Gaming,0,9130,Mature High Spender,Upsell premium services
26,Other,Delhi,Oppo,Android,9.0,16.1,290.8,181,1.9,9051,3.6,1.0,222,Education,0,9273,Mature High Spender,Upsell premium services
20,Male,Bangalore,Motorola,iOS,9.2,35.7,130.7,60,2.0,7998,5.7,0.7,847,Entertainment,0,8845,Mature High Spender,Upsell premium services
58,Male,Mumbai,Apple,Android,7.7,2.6,255.0,127,2.1,9817,2.4,3.9,1651,Entertainment,0,11468,Mature High Spender,Upsell premium services
60,Female,Hyderabad,Realme,Android,8.4,11.8,291.5,171,0.6,7149,5.5,1.8,1646,Work,0,8795,Mature High Spender,Upsell premium services
35,Female,Ahmedabad,Motorola,iOS,7.5,43.1,283.8,46,1.5,6544,3.9,3.3,1016,Gaming,0,7560,Mature High Spender,Upsell premium services
53,Male,Hyderabad,Nokia,iOS,11.5,39.3,167.8,191,3.2,7747,6.5,1.5,1346,Entertainment,0,9093,Mature High Spender,Upsell premium services
55,Female,Kolkata,Apple,Android,2.9,17.9,12.6,28,2.4,5844,7.3,2.9,1512,Social Media,0,7356,Mature High Spender,Upsell premium services
44,Other,Pune,Xiaomi,iOS,4.6,9.6,239.9,91,1.4,6773,4.1,2.7,535,Entertainment,0,7308,Mature High Spender,Upsell premium services
33,Female,Jaipur,Apple,Android,7.7,18.7,189.4,109,1.8,8766,5.1,1.6,1212,Gaming,0,9978,Mature High Spender,Upsell premium services
42,Female,Delhi,OnePlus,Android,5.4,48.3,280.7,23,3.5,8797,6.3,1.3,1786,Work,0,10583,Mature High Spender,Upsell premium services
28,Other,Kolkata,OnePlus,Android,9.1,25.4,128.5,43,2.5,8489,7.6,1.3,1664,Gaming,0,10153,Mature High Spender,Upsell premium services
50,Other,Lucknow,Apple,iOS,4.6,18.2,216.6,191,2.4,6884,6.9,4.4,1998,Education,0,8882,Mature High Spender,Upsell premium services
35,Other,Ahmedabad,Xiaomi,iOS,1.6,22.1,28.6,190,2.8,7460,4.4,4.8,1960,Work,0,9420,Mature High Spender,Upsell premium services
38,Male,Bangalore,Vivo,iOS,3.2,25.2,66.9,121,1.1,8121,1.6,3.4,1469,Entertainment,0,9590,Mature High Spender,Upsell premium services
52,Other,Kolkata,Realme,Android,9.5,9.5,174.6,86,0.7,5434,6.8,3.1,1012,Entertainment,0,6446,Mature High Spender,Upsell premium services
21,Male,Kolkata,OnePlus,iOS,11.6,23.3,100.6,13,2.6,8849,5.4,0.1,327,Gaming,0,9176,Mature High Spender,Upsell premium services
27,Female,Ahmedabad,Google Pixel,iOS,10.3,3.3,117.3,123,1.7,6088,6.9,3.8,1388,Work,0,7476,Mature High Spender,Upsell premium services
35,Other,Lucknow,OnePlus,Android,7.4,10.7,219.6,76,1.0,7666,5.5,2.5,1563,Work,0,9229,Mature High Spender,Upsell premium services
47,Male,Pune,Samsung,Android,10.8,7.1,260.0,111,0.6,6423,5.2,3.3,1346,Work,0,7769,Mature High Spender,Upsell premium services
57,Other,Bangalore,Samsung,Android,10.9,10.2,282.0,27,1.0,7920,4.3,4.3,1209,Social Media,0,9129,Mature High Spender,Upsell premium services
55,Male,Lucknow,Xiaomi,iOS,9.4,44.6,105.8,83,2.1,6577,6.4,3.5,1302,Gaming,0,7879,Mature High Spender,Upsell premium services
15,Male,Lucknow,Motorola,Android,1.7,38.8,114.5,164,2.0,7945,1.5,4.7,1965,Social Media,0,9910,Mature High Spender,Upsell premium services
21,Male,Ahmedabad,Motorola,Android,5.2,38.6,256.8,79,2.5,8420,5.2,4.5,661,Entertainment,0,9081,Mature High Spender,Upsell premium services
51,Male,Mumbai,Vivo,Android,11.2,13.8,218.5,117,0.8,3796,1.3,1.4,436,Work,0,4232,Mature High Spender,Upsell premium services
16,Female,Jaipur,Vivo,Android,4.5,9.7,207.6,188,1.7,9777,2.4,3.2,1864,Work,0,11641,Mature High Spender,Upsell premium services
40,Male,Bangalore,Realme,Android,9.0,14.8,176.3,124,2.0,9648,5.5,2.0,1826,Gaming,0,11474,Mature High Spender,Upsell premium services
57,Male,Delhi,Apple,iOS,5.9,34.9,149.6,37,2.0,9041,2.5,2.0,787,Education,0,9828,Mature High Spender,Upsell premium services
34,Male,Lucknow,Realme,Android,10.4,42.9,217.7,62,1.5,4715,7.1,0.1,1010,Work,0,5725,Mature High Spender,Upsell premium services
29,Female,Mumbai,Google Pixel,iOS,10.0,11.3,212.1,24,1.0,6311,5.3,3.7,1032,Entertainment,0,7343,Mature High Spender,Upsell premium services
39,Female,Ahmedabad,Nokia,Android,11.1,25.3,116.6,79,1.4,8748,6.1,3.4,1726,Work,0,10474,Mature High Spender,Upsell premium services
18,Male,Pune,Samsung,iOS,2.0,21.4,118.3,195,2.2,8432,1.5,4.4,1158,Social Media,0,9590,Mature High Spender,Upsell premium services
60,Male,Ahmedabad,Vivo,iOS,1.3,28.3,175.2,174,1.7,9817,0.7,0.2,956,Education,0,10773,Mature High Spender,Upsell premium services
31,Other,Chennai,Xiaomi,iOS,2.9,26.0,121.8,179,2.1,5628,4.8,1.2,1163,Work,0,6791,Mature High Spender,Upsell premium services
38,Female,Bangalore,Motorola,Android,6.3,22.9,106.2,184,2.8,7458,2.3,1.2,1993,Social Media,0,9451,Mature High Spender,Upsell premium services
20,Male,Kolkata,Oppo,Android,8.6,19.7,166.8,23,1.9,7714,1.2,2.1,388,Social Media,0,8102,Mature High Spender,Upsell premium services
49,Other,Delhi,Realme,iOS,4.1,46.5,65.6,178,1.1,7339,4.8,4.4,573,Social Media,0,7912,Mature High Spender,Upsell premium services
28,Female,Hyderabad,Oppo,iOS,6.7,42.3,277.0,140,1.6,7891,2.7,3.4,482,Work,0,8373,Mature High Spender,Upsell premium services
28,Other,Chennai,Motorola,Android,7.9,23.3,66.2,134,0.7,8992,1.5,1.9,755,Gaming,0,9747,Mature High Spender,Upsell premium services
26,Female,Delhi,Nokia,Android,11.6,27.0,138.8,66,0.5,6429,5.2,4.0,622,Social Media,0,7051,Mature High Spender,Upsell premium services
48,Other,Pune,Vivo,iOS,4.8,13.7,184.6,127,1.0,3945,7.1,2.4,1234,Gaming,0,5179,Mature High Spender,Upsell premium services
26,Male,Jaipur,Xiaomi,Android,11.5,28.2,31.4,49,1.2,9052,5.1,2.8,1087,Entertainment,0,10139,Mature High Spender,Upsell premium services
56,Male,Ahmedabad,OnePlus,Android,7.2,39.1,92.5,45,2.1,7871,1.9,1.2,188,Education,0,8059,Mature High Spender,Upsell premium services
31,Male,Bangalore,Realme,Android,8.3,37.2,20.1,14,1.7,4912,4.7,4.1,288,Gaming,0,5200,Mature High Spender,Upsell premium services
25,Other,Kolkata,OnePlus,iOS,1.8,31.0,192.4,41,2.3,8874,1.5,2.3,742,Gaming,0,9616,Mature High Spender,Upsell premium services
17,Male,Delhi,Xiaomi,Android,4.9,5.8,290.2,60,1.8,8701,4.7,1.0,1047,Social Media,0,9748,Mature High Spender,Upsell premium services
46,Other,Pune,Google Pixel,iOS,2.3,45.8,176.4,42,0.7,9715,5.2,1.4,1731,Gaming,0,11446,Mature High Spender,Upsell premium services
44,Female,Hyderabad,Realme,Android,8.7,25.7,161.6,90,2.7,8409,5.9,3.9,995,Work,0,9404,Mature High Spender,Upsell premium services
56,Female,Mumbai,Nokia,Android,4.4,4.1,238.8,44,1.9,9670,6.0,4.8,222,Social Media,0,9892,Mature High Spender,Upsell premium services
37,Female,Chennai,Realme,Android,5.8,37.2,231.1,167,3.0,5057,2.5,0.1,507,Social Media,0,5564,Mature High Spender,Upsell premium services
47,Other,Jaipur,Motorola,Android,1.3,14.4,210.0,12,2.5,6467,1.6,4.6,1007,Work,0,7474,Mature High Spender,Upsell premium services
57,Male,Jaipur,Apple,iOS,8.8,15.2,94.6,33,2.9,9241,6.4,4.4,1817,Work,0,11058,Mature High Spender,Upsell premium services
56,Female,Jaipur,Oppo,Android,5.5,48.5,254.6,113,2.1,6598,3.6,1.2,1943,Gaming,0,8541,Mature High Spender,Upsell premium services
28,Other,Chennai,Apple,iOS,10.3,30.8,124.0,147,0.7,8405,1.0,2.6,728,Gaming,0,9133,Mature High Spender,Upsell premium services
43,Other,Delhi,Apple,iOS,4.7,4.8,278.9,73,2.1,6123,3.5,2.5,1518,Work,0,7641,Mature High Spender,Upsell premium services
44,Female,Bangalore,Nokia,iOS,11.8,17.0,108.0,86,1.5,5974,4.1,4.1,1289,Entertainment,0,7263,Mature High Spender,Upsell premium services
36,Other,Bangalore,Nokia,Android,8.9,34.3,286.9,14,0.7,8888,5.1,3.5,1026,Gaming,0,9914,Mature High Spender,Upsell premium services
54,Female,Hyderabad,Samsung,iOS,7.4,46.1,148.6,82,0.8,7460,6.8,4.3,1904,Gaming,0,9364,Mature High Spender,Upsell premium services
37,Other,Bangalore,Nokia,iOS,9.8,42.4,270.9,22,2.8,6891,4.3,0.2,490,Entertainment,0,7381,Mature High Spender,Upsell premium services
25,Female,Hyderabad,Apple,Android,11.7,43.3,207.1,75,1.3,6700,4.0,0.1,1785,Education,0,8485,Mature High Spender,Upsell premium services
30,Female,Mumbai,Vivo,iOS,7.6,49.9,156.2,12,1.7,9530,1.8,1.2,948,Education,0,10478,Mature High Spender,Upsell premium services
23,Male,Hyderabad,Apple,iOS,9.3,34.5,46.0,106,1.0,6203,3.2,1.8,278,Entertainment,0,6481,Mature High Spender,Upsell premium services
20,Female,Lucknow,Nokia,iOS,11.8,33.1,284.3,170,1.1,9996,6.5,1.0,727,Education,0,10723,Mature High Spender,Upsell premium services
43,Female,Jaipur,Apple,Android,5.5,24.3,75.9,183,2.5,7721,3.2,0.9,422,Social Media,0,8143,Mature High Spender,Upsell premium services
54,Female,Bangalore,OnePlus,Android,8.8,16.1,133.4,166,2.1,8830,1.6,1.6,963,Entertainment,0,9793,Mature High Spender,Upsell premium services
36,Female,Lucknow,Vivo,Android,1.1,22.8,65.5,166,2.1,6116,1.1,2.4,1024,Work,0,7140,Mature High Spender,Upsell premium services
45,Other,Bangalore,Nokia,iOS,10.2,34.1,175.0,74,1.1,9930,4.5,0.5,1768,Entertainment,0,11698,Mature High Spender,Upsell premium services
22,Other,Bangalore,Motorola,Android,1.3,45.9,182.0,20,0.7,6391,4.9,3.2,1235,Social Media,0,7626,Mature High Spender,Upsell premium services
26,Other,Lucknow,Apple,iOS,10.5,4.2,249.0,189,1.6,6107,1.3,1.0,953,Entertainment,0,7060,Mature High Spender,Upsell premium services
37,Other,Ahmedabad,Motorola,Android,8.5,35.2,236.9,140,2.9,7286,2.6,0.9,327,Work,0,7613,Mature High Spender,Upsell premium services
36,Other,Jaipur,Oppo,Android,7.9,10.8,46.1,96,1.7,8147,6.4,1.2,876,Gaming,0,9023,Mature High Spender,Upsell premium services
43,Male,Lucknow,Vivo,Android,3.6,5.1,216.7,172,1.9,9361,6.3,3.2,1722,Social Media,0,11083,Mature High Spender,Upsell premium services
24,Male,Ahmedabad,Samsung,iOS,4.2,12.7,296.7,125,2.9,9602,1.6,1.4,464,Education,0,10066,Mature High Spender,Upsell premium services
20,Male,Ahmedabad,Motorola,Android,6.3,10.4,37.8,93,0.8,7597,1.9,3.0,834,Entertainment,0,8431,Mature High Spender,Upsell premium services
30,Male,Mumbai,OnePlus,iOS,7.7,13.2,250.0,134,1.6,7801,7.2,2.8,1432,Social Media,0,9233,Mature High Spender,Upsell premium services
56,Male,Mumbai,Nokia,Android,3.9,45.3,298.4,184,1.2,7588,5.4,4.6,422,Work,0,8010,Mature High Spender,Upsell premium services
36,Other,Bangalore,Oppo,iOS,9.5,11.5,71.6,161,1.5,9992,6.5,2.3,532,Work,0,10524,Mature High Spender,Upsell premium services
38,Female,Mumbai,Realme,iOS,9.1,20.2,162.1,65,1.7,4614,5.9,4.3,670,Gaming,0,5284,Mature High Spender,Upsell premium services
49,Other,Chennai,Motorola,iOS,10.2,20.6,126.6,92,2.6,8250,3.0,3.9,1620,Social Media,0,9870,Mature High Spender,Upsell premium services
36,Male,Jaipur,Apple,iOS,9.3,2.9,37.6,163,1.2,5610,5.5,0.7,594,Gaming,0,6204,Mature High Spender,Upsell premium services
43,Other,Hyderabad,Apple,iOS,11.7,2.5,13.0,39,2.2,4577,3.9,1.0,746,Social Media,0,5323,Mature High Spender,Upsell premium services
41,Female,Jaipur,OnePlus,Android,9.6,15.9,110.4,153,1.9,8623,2.1,3.0,1370,Entertainment,0,9993,Mature High Spender,Upsell premium services
57,Other,Bangalore,Motorola,Android,3.3,25.1,91.3,109,1.4,5664,5.2,2.7,967,Education,0,6631,Mature High Spender,Upsell premium services
48,Male,Kolkata,Apple,Android,4.4,12.3,276.9,124,2.0,7493,5.9,1.6,1963,Work,0,9456,Mature High Spender,Upsell premium services
42,Female,Lucknow,Motorola,iOS,8.2,3.3,142.1,183,1.4,9502,2.6,1.1,1366,Entertainment,0,10868,Mature High Spender,Upsell premium services
16,Female,Pune,Xiaomi,Android,10.4,12.1,23.8,168,0.9,6999,7.9,0.9,306,Entertainment,0,7305,Mature High Spender,Upsell premium services
28,Female,Chennai,Nokia,iOS,2.5,17.5,21.1,140,1.7,5386,5.5,3.7,192,Education,0,5578,Mature High Spender,Upsell premium services
37,Female,Jaipur,Realme,iOS,10.0,34.5,34.6,38,1.3,9990,6.5,2.2,267,Education,0,10257,Mature High Spender,Upsell premium services
52,Male,Kolkata,Samsung,iOS,5.2,36.4,245.1,143,0.6,2986,7.1,3.8,1639,Social Media,0,4625,Mature High Spender,Upsell premium services
35,Female,Jaipur,Samsung,Android,12.0,3.1,48.3,14,2.3,5294,3.7,2.3,1284,Social Media,0,6578,Mature High Spender,Upsell premium services
48,Other,Jaipur,Google Pixel,iOS,5.0,16.8,187.2,23,1.0,5720,6.0,2.0,1310,Entertainment,0,7030,Mature High Spender,Upsell premium services
